"wl","Blue_20cd","Blue_40cd","Blue_80cd","Blue_120cd","Red_40cd","Red_80cd","Red_120cd","Red_240cd"
361,2394.73518344074,2393.74065224141,2350.825927908,2390.91557736498,2376.45648254999,2378.04689385895,2365.26038716616,2383.09564451966
362,2394.29193406217,2394.14960702389,2349.71852118923,2390.58159300731,2376.32109717827,2378.59409227688,2364.76514851566,2382.82017373304
363,2393.89854656243,2394.2886020699,2348.95019742776,2390.37343183174,2376.34305525705,2378.98366020184,2364.5027631722,2382.6788452558
364,2393.23807504271,2393.76281635155,2348.56256832203,2390.35132018258,2376.70098327206,2379.23872426521,2364.65864471785,2382.84238420017
365,2392.27694852923,2392.85759372777,2348.32464598038,2390.39194485482,2377.24071360052,2379.55612427985,2364.90339648542,2383.21898896598
366,2391.7115643964,2392.24508800063,2348.26167701428,2390.43029507736,2377.66235801436,2379.6678403101,2365.08690379817,2383.57047399842
367,2391.79817827948,2392.01434289906,2348.77276311438,2390.55912092778,2378.1195624503,2379.46508462997,2365.07914233262,2383.94677397126
368,2392.16945354543,2391.84177403405,2349.73344096135,2390.7882724144,2378.70939695824,2379.11752310917,2364.9910027766,2384.40147778772
369,2392.58639916624,2391.78059303075,2350.38360965174,2390.9283886622,2379.04710947984,2378.77481620562,2365.03374297035,2384.70188123722
370,2393.34111238259,2391.96906843009,2350.55975295413,2390.91182932589,2378.95439945751,2378.2569880688,2365.33760730483,2384.70680207807
371,2394.4232850167,2392.34149743234,2350.62125785428,2390.83923400465,2378.639822417,2377.54616927973,2365.76724265434,2384.58924163812
372,2395.14031791293,2392.64513465163,2350.59237827452,2390.77366174016,2378.29891042502,2377.03517994358,2366.13551058415,2384.58777106107
373,2395.39057172495,2393.04261377429,2350.09709969586,2390.6633914249,2377.85550659687,2376.64812319776,2366.39274709533,2384.80746617059
374,2395.50916974541,2393.58872609861,2349.32075856018,2390.48866991918,2377.26084794271,2376.2669542167,2366.61899089877,2385.09600807268
375,2395.45865677706,2393.86896265667,2349.12963523106,2390.3605082164,2376.75155737159,2376.22127116113,2366.82165762445,2385.30587583466
376,2395.03780132329,2393.6365143519,2349.77228523002,2390.32058888719,2376.22178662378,2376.73303097633,2367.23546611457,2385.39563865415
377,2394.28684939843,2393.08665972668,2350.75433408976,2390.33260350671,2375.55174829013,2377.60412765519,2367.83800060164,2385.42974787326
378,2393.53056207161,2392.46802127148,2351.8276671907,2390.39057657522,2374.95715655553,2378.53406492979,2368.25097480099,2385.41950577595
379,2393.093700412,2392.02922147679,2352.74416991325,2390.48853259296,2374.65372560487,2379.22234653222,2368.09610242798,2385.37621464621
380,2392.99324454579,2391.73357938116,2354.09927598591,2390.60679082905,2374.77696614013,2379.82905575273,2366.78033436312,2385.20322833871
381,2393.01133622788,2391.46625055747,2355.89633530556,2390.72850195574,2375.16698553216,2380.52404721304,2364.78419443709,2384.94440975458
382,2393.12047897044,2391.35861229767,2356.99910750523,2390.85193757793,2375.59639296916,2381.02148164253,2363.33975579058,2384.82182474749
383,2393.59585153516,2391.49556880576,2357.20745617983,2390.96141602591,2376.32503188255,2381.11521886076,2362.29614051619,2384.79259909797
384,2394.36270965551,2391.76165573836,2357.04222695032,2391.06902344588,2377.33348714628,2380.96402975068,2361.16991710254,2384.75065180684
